split,source_batch,frame_id,image,source
train,400-449_completed,0400,frame_0400_f10374.jpg,data/400-449_completed/images/frame_0400_f10374.jpg
train,400-449_completed,0402,frame_0402_f10426.jpg,data/400-449_completed/images/frame_0402_f10426.jpg
train,400-449_completed,0403,frame_0403_f10452.jpg,data/400-449_completed/images/frame_0403_f10452.jpg
train,400-449_completed,0406,frame_0406_f10529.jpg,data/400-449_completed/images/frame_0406_f10529.jpg
train,400-449_completed,0409,frame_0409_f10607.jpg,data/400-449_completed/images/frame_0409_f10607.jpg
train,400-449_completed,0410,frame_0410_f10633.jpg,data/400-449_completed/images/frame_0410_f10633.jpg
train,400-449_completed,0411,frame_0411_f10659.jpg,data/400-449_completed/images/frame_0411_f10659.jpg
train,400-449_completed,0416,frame_0416_f10789.jpg,data/400-449_completed/images/frame_0416_f10789.jpg
train,400-449_completed,0419,frame_0419_f10867.jpg,data/400-449_completed/images/frame_0419_f10867.jpg
train,400-449_completed,0420,frame_0420_f10893.jpg,data/400-449_completed/images/frame_0420_f10893.jpg
train,400-449_completed,0421,frame_0421_f10918.jpg,data/400-449_completed/images/frame_0421_f10918.jpg
train,400-449_completed,0430,frame_0430_f11152.jpg,data/400-449_completed/images/frame_0430_f11152.jpg
train,400-449_completed,0431,frame_0431_f11178.jpg,data/400-449_completed/images/frame_0431_f11178.jpg
train,400-449_completed,0435,frame_0435_f11282.jpg,data/400-449_completed/images/frame_0435_f11282.jpg
train,400-449_completed,0436,frame_0436_f11307.jpg,data/400-449_completed/images/frame_0436_f11307.jpg
train,400-449_completed,0438,frame_0438_f11359.jpg,data/400-449_completed/images/frame_0438_f11359.jpg
train,400-449_completed,0439,frame_0439_f11385.jpg,data/400-449_completed/images/frame_0439_f11385.jpg
train,400-449_completed,0440,frame_0440_f11411.jpg,data/400-449_completed/images/frame_0440_f11411.jpg
train,400-449_completed,0442,frame_0442_f11463.jpg,data/400-449_completed/images/frame_0442_f11463.jpg
train,400-449_completed,0447,frame_0447_f11593.jpg,data/400-449_completed/images/frame_0447_f11593.jpg
train,400-449_completed,0449,frame_0449_f11645.jpg,data/400-449_completed/images/frame_0449_f11645.jpg
train,450-499_completed,0450,frame_0450_f11671.jpg,data/450-499_completed/images/frame_0450_f11671.jpg
train,450-499_completed,0454,frame_0454_f11774.jpg,data/450-499_completed/images/frame_0454_f11774.jpg
train,450-499_completed,0455,frame_0455_f11800.jpg,data/450-499_completed/images/frame_0455_f11800.jpg
train,450-499_completed,0457,frame_0457_f11852.jpg,data/450-499_completed/images/frame_0457_f11852.jpg
train,450-499_completed,0459,frame_0459_f11904.jpg,data/450-499_completed/images/frame_0459_f11904.jpg
train,450-499_completed,0467,frame_0467_f12111.jpg,data/450-499_completed/images/frame_0467_f12111.jpg
train,450-499_completed,0469,frame_0469_f12163.jpg,data/450-499_completed/images/frame_0469_f12163.jpg
train,450-499_completed,0471,frame_0471_f12215.jpg,data/450-499_completed/images/frame_0471_f12215.jpg
train,450-499_completed,0474,frame_0474_f12293.jpg,data/450-499_completed/images/frame_0474_f12293.jpg
train,450-499_completed,0475,frame_0475_f12319.jpg,data/450-499_completed/images/frame_0475_f12319.jpg
train,450-499_completed,0476,frame_0476_f12345.jpg,data/450-499_completed/images/frame_0476_f12345.jpg
train,450-499_completed,0479,frame_0479_f12423.jpg,data/450-499_completed/images/frame_0479_f12423.jpg
train,450-499_completed,0482,frame_0482_f12500.jpg,data/450-499_completed/images/frame_0482_f12500.jpg
train,450-499_completed,0483,frame_0483_f12526.jpg,data/450-499_completed/images/frame_0483_f12526.jpg
train,450-499_completed,0485,frame_0485_f12578.jpg,data/450-499_completed/images/frame_0485_f12578.jpg
train,450-499_completed,0486,frame_0486_f12604.jpg,data/450-499_completed/images/frame_0486_f12604.jpg
train,450-499_completed,0488,frame_0488_f12656.jpg,data/450-499_completed/images/frame_0488_f12656.jpg
train,450-499_completed,0489,frame_0489_f12682.jpg,data/450-499_completed/images/frame_0489_f12682.jpg
train,450-499_completed,0490,frame_0490_f12708.jpg,data/450-499_completed/images/frame_0490_f12708.jpg
train,450-499_completed,0493,frame_0493_f12786.jpg,data/450-499_completed/images/frame_0493_f12786.jpg
train,450-499_completed,0498,frame_0498_f12915.jpg,data/450-499_completed/images/frame_0498_f12915.jpg
train,450-499_completed,0499,frame_0499_f12941.jpg,data/450-499_completed/images/frame_0499_f12941.jpg
train,500-549_completed,0502,frame_0502_f13019.jpg,data/500-549_completed/images/frame_0502_f13019.jpg
train,500-549_completed,0503,frame_0503_f13045.jpg,data/500-549_completed/images/frame_0503_f13045.jpg
train,500-549_completed,0504,frame_0504_f13071.jpg,data/500-549_completed/images/frame_0504_f13071.jpg
train,500-549_completed,0506,frame_0506_f13123.jpg,data/500-549_completed/images/frame_0506_f13123.jpg
train,500-549_completed,0507,frame_0507_f13149.jpg,data/500-549_completed/images/frame_0507_f13149.jpg
train,500-549_completed,0508,frame_0508_f13175.jpg,data/500-549_completed/images/frame_0508_f13175.jpg
train,500-549_completed,0512,frame_0512_f13279.jpg,data/500-549_completed/images/frame_0512_f13279.jpg
train,500-549_completed,0513,frame_0513_f13304.jpg,data/500-549_completed/images/frame_0513_f13304.jpg
train,500-549_completed,0515,frame_0515_f13356.jpg,data/500-549_completed/images/frame_0515_f13356.jpg
train,500-549_completed,0516,frame_0516_f13382.jpg,data/500-549_completed/images/frame_0516_f13382.jpg
train,500-549_completed,0519,frame_0519_f13460.jpg,data/500-549_completed/images/frame_0519_f13460.jpg
train,500-549_completed,0521,frame_0521_f13512.jpg,data/500-549_completed/images/frame_0521_f13512.jpg
train,500-549_completed,0528,frame_0528_f13693.jpg,data/500-549_completed/images/frame_0528_f13693.jpg
train,500-549_completed,0531,frame_0531_f13771.jpg,data/500-549_completed/images/frame_0531_f13771.jpg
train,500-549_completed,0532,frame_0532_f13797.jpg,data/500-549_completed/images/frame_0532_f13797.jpg
train,500-549_completed,0535,frame_0535_f13875.jpg,data/500-549_completed/images/frame_0535_f13875.jpg
train,500-549_completed,0539,frame_0539_f13979.jpg,data/500-549_completed/images/frame_0539_f13979.jpg
train,500-549_completed,0540,frame_0540_f14005.jpg,data/500-549_completed/images/frame_0540_f14005.jpg
train,500-549_completed,0543,frame_0543_f14083.jpg,data/500-549_completed/images/frame_0543_f14083.jpg
train,500-549_completed,0545,frame_0545_f14134.jpg,data/500-549_completed/images/frame_0545_f14134.jpg
train,500-549_completed,0547,frame_0547_f14186.jpg,data/500-549_completed/images/frame_0547_f14186.jpg
train,500-549_completed,0549,frame_0549_f14238.jpg,data/500-549_completed/images/frame_0549_f14238.jpg
train,550-599_completed,0553,frame_0553_f14342.jpg,data/550-599_completed/images/frame_0553_f14342.jpg
train,550-599_completed,0556,frame_0556_f14420.jpg,data/550-599_completed/images/frame_0556_f14420.jpg
train,550-599_completed,0559,frame_0559_f14497.jpg,data/550-599_completed/images/frame_0559_f14497.jpg
train,550-599_completed,0561,frame_0561_f14549.jpg,data/550-599_completed/images/frame_0561_f14549.jpg
train,550-599_completed,0562,frame_0562_f14575.jpg,data/550-599_completed/images/frame_0562_f14575.jpg
train,550-599_completed,0563,frame_0563_f14601.jpg,data/550-599_completed/images/frame_0563_f14601.jpg
train,550-599_completed,0564,frame_0564_f14627.jpg,data/550-599_completed/images/frame_0564_f14627.jpg
train,550-599_completed,0565,frame_0565_f14653.jpg,data/550-599_completed/images/frame_0565_f14653.jpg
train,550-599_completed,0568,frame_0568_f14731.jpg,data/550-599_completed/images/frame_0568_f14731.jpg
train,550-599_completed,0570,frame_0570_f14783.jpg,data/550-599_completed/images/frame_0570_f14783.jpg
train,550-599_completed,0571,frame_0571_f14809.jpg,data/550-599_completed/images/frame_0571_f14809.jpg
train,550-599_completed,0573,frame_0573_f14861.jpg,data/550-599_completed/images/frame_0573_f14861.jpg
train,550-599_completed,0574,frame_0574_f14886.jpg,data/550-599_completed/images/frame_0574_f14886.jpg
train,550-599_completed,0575,frame_0575_f14912.jpg,data/550-599_completed/images/frame_0575_f14912.jpg
train,550-599_completed,0576,frame_0576_f14938.jpg,data/550-599_completed/images/frame_0576_f14938.jpg
train,550-599_completed,0577,frame_0577_f14964.jpg,data/550-599_completed/images/frame_0577_f14964.jpg
train,550-599_completed,0579,frame_0579_f15016.jpg,data/550-599_completed/images/frame_0579_f15016.jpg
train,550-599_completed,0580,frame_0580_f15042.jpg,data/550-599_completed/images/frame_0580_f15042.jpg
train,550-599_completed,0584,frame_0584_f15146.jpg,data/550-599_completed/images/frame_0584_f15146.jpg
train,550-599_completed,0585,frame_0585_f15172.jpg,data/550-599_completed/images/frame_0585_f15172.jpg
train,550-599_completed,0586,frame_0586_f15198.jpg,data/550-599_completed/images/frame_0586_f15198.jpg
