split,frame_id,image,source
train,0400,frame_0400_f10374.jpg,data/400-449_completed/images/frame_0400_f10374.jpg
train,0403,frame_0403_f10452.jpg,data/400-449_completed/images/frame_0403_f10452.jpg
train,0405,frame_0405_f10504.jpg,data/400-449_completed/images/frame_0405_f10504.jpg
train,0408,frame_0408_f10581.jpg,data/400-449_completed/images/frame_0408_f10581.jpg
train,0410,frame_0410_f10633.jpg,data/400-449_completed/images/frame_0410_f10633.jpg
train,0413,frame_0413_f10711.jpg,data/400-449_completed/images/frame_0413_f10711.jpg
train,0416,frame_0416_f10789.jpg,data/400-449_completed/images/frame_0416_f10789.jpg
train,0418,frame_0418_f10841.jpg,data/400-449_completed/images/frame_0418_f10841.jpg
train,0421,frame_0421_f10918.jpg,data/400-449_completed/images/frame_0421_f10918.jpg
train,0423,frame_0423_f10970.jpg,data/400-449_completed/images/frame_0423_f10970.jpg
train,0426,frame_0426_f11048.jpg,data/400-449_completed/images/frame_0426_f11048.jpg
train,0429,frame_0429_f11126.jpg,data/400-449_completed/images/frame_0429_f11126.jpg
train,0431,frame_0431_f11178.jpg,data/400-449_completed/images/frame_0431_f11178.jpg
train,0433,frame_0433_f11230.jpg,data/400-449_completed/images/frame_0433_f11230.jpg
val,0436,frame_0436_f11307.jpg,data/400-449_completed/images/frame_0436_f11307.jpg
val,0439,frame_0439_f11385.jpg,data/400-449_completed/images/frame_0439_f11385.jpg
val,0442,frame_0442_f11463.jpg,data/400-449_completed/images/frame_0442_f11463.jpg
test,0445,frame_0445_f11541.jpg,data/400-449_completed/images/frame_0445_f11541.jpg
test,0447,frame_0447_f11593.jpg,data/400-449_completed/images/frame_0447_f11593.jpg
test,0449,frame_0449_f11645.jpg,data/400-449_completed/images/frame_0449_f11645.jpg
